0.25,15,0.25,Gruppo_Energia
0.5,30.1,0.50,Gruppo
0.55,33,0.55,MIFLEX
1.0,60.2,1.00,Gruppo
2.0,120.4,2.00,Gruppo
2.75,165.47,2.75,ELECTRONICON
