Nr,Rodzaj,Moc,Model,Wynik testu
1,1 fazwoy kondensator,0.2557563357263148,"0.25 [kVAr], 15 [uF]   Wima",Działa
3,1 fazwoy kondensator,0.2569158796063368,"0.25 [kVAr], 15 [uF]   Wima",Działa
4,1 fazwoy kondensator,0.2544095168298672,"0.25 [kVAr], 15 [uF]   Wima",Działa
