Przekroj
5x 1.5 mm2
5x 2.5 mm2
5x 4 mm2
5x 6 mm2
5x 10 mm2
5x 16 mm2
5x 25 mm2
5x 35 mm2
5x 50 mm2
70 mm2
95 mm2
120 mm2
150 mm2
185 mm2
240 mm2
300 mm2
400 mm2
500 mm2


